"Song","Artist","Index","Year"
"Me In Honey","R.E.M.","103","1991"
"Grey Cell Green","Ned's Atomic Dustbin","102","1991"
"Always On The Run","Lenny Kravitz","101","1991"
"Can't Truss It","Public Enemy","100","1991"
"Divine Intervention","Matthew Sweet","99","1991"
"Family Man","Nitzer Ebb","98","1991"
"Into The Drink","Mudhoney","97","1991"
"How Much Is Enough","The Fixx","96","1991"
"Can You Dig It?","The Mock Turtles","95","1991"
"I'm Too Sexy","Right Said Fred","94","1991"
"Dyer Maker","Eek-A-Mouse","93","1991"
"13th Disciple","Five Thirty","92","1991"
"Caribbean Blue","Enya","91","1991"
"Sex on Wheelz","My Life With The Thrill Kill Kult","90","1991"
"Backlash","Joan Jett & the Blackhearts","89","1991"
"All This Time","Sting","88","1991"
"Heart of Soul","The Cult","87","1991"
"Everyday Sunshine","Fishbone","86","1991"
"Take Five","Northside","85","1991"
"Calling Elvis","Dire Straits","84","1991"
"Mama Told Me Not to Come","The Wolfgang Press","83","1991"
"Good Enough","Mudhoney","82","1991"
"Miss Freelove '69","Hoodoo Gurus","81","1991"
"Suck My Kiss","Red Hot Chili Peppers","80","1991"
"Here I Am (Come And Take Me)","UB40","79","1991"
"Siva - Remastered 2011","The Smashing Pumpkins","78","1991"
"Stand By Love","Simple Minds","77","1991"
"Kozmik","Ziggy Marley","76","1991"
"You Woke up My Neighbourhood","Billy Bragg","75","1991"
"Sailing On The Seven Seas","Orchestral Manoeuvres In The Dark","74","1991"
"I Touch Myself","Divinyls","73","1991"
"Jerry Was A Race Car Driver","Primus","72","1991"
"Don't Be a Girl","The Psychedelic Furs","71","1991"
"Seeing Things","The Black Crowes","70","1991"
"On A Plain","Nirvana","69","1991"
"Into The Great Wide Open","Tom Petty and the Heartbreakers","68","1991"
"Solace of You","Living Colour","67","1991"
"Move Any Mountain","The Shamen","66","1991"
"Sittin' on a Pitchfork","The Young Fresh Fellows","65","1991"
"Outshined - Remastered 2016","Soundgarden","64","1991"
"Tell Me When Did Things Go So Wrong","The Smithereens","63","1991"
"This Love","Daniel Ash","62","1991"
"Feel Every Beat","Electronic","61","1991"
"Deep","Pearl Jam","60","1991"
"Monsters and Angels","Voice Of The Beehive","59","1991"
"Heavy Fuel","Dire Straits","58","1991"
"Head On","Pixies","57","1991"
"Wicked Game","Chris Isaak","56","1991"
"It Won't Be Long","Alison Moyet","55","1991"
"Cream","Prince","54","1991"
"Jesus Built My Hotrod","Ministry","53","1991"
"Bitter Tears","INXS","52","1991"
"Our Frank - 2013 Remaster","Morrissey","51","1991"
"There's No Other Way - 2012 Remaster","Blur","50","1991"
"Mad About You","Sting","49","1991"
"Texarkana","R.E.M.","48","1991"
"Head Like A Hole","Nine Inch Nails","47","1991"
"Ballerina Out of Control","The Ocean Blue","46","1991"
"Love to Hate You","Erasure","45","1991"
"Happy","Ned's Atomic Dustbin","44","1991"
"She Talks To Angels","The Black Crowes","43","1991"
"Tighten Up","Electronic","42","1991"
"For What It's Worth","The Candy Skins","41","1991"
"Wild Hearted Son","The Cult","40","1991"
"See The Lights - 2002 Digital Remaster","Simple Minds","39","1991"
"Top Of The Pops","The Smithereens","38","1991"
"Rocket's Tail - 2018 Remaster","Kate Bush","37","1991"
"Rhinoceros - Remastered 2011","The Smashing Pumpkins","36","1991"
"Movin' on Up","Primal Scream","35","1991"
"Learning To Fly","Tom Petty and the Heartbreakers","34","1991"
"Until She Comes","The Psychedelic Furs","33","1991"
"Baby Can Dance - 1999 Remaster","Tin Machine","32","1991"
"Love Rears Its Ugly Head","Living Colour","31","1991"
"Satisfied","Squeeze","30","1991"
"It Ain't Over 'Til It's Over","Lenny Kravitz","29","1991"
"Shining Star - Live","INXS","28","1991"
"Shadowtime","Siouxsie and the Banshees","27","1991"
"Been Caught Stealing","Jane's Addiction","26","1991"
"She's A Girl And I'm A Man","Lloyd Cole","25","1991"
"Shiny Happy People","R.E.M.","24","1991"
"Sexuality","Billy Bragg","23","1991"
"Chorus","Erasure","22","1991"
"Man in the Box","Alice In Chains","21","1991"
"Real Real Real","Jesus Jones","20","1991"
"Crazy","Seal","19","1991"
"So You Think You're In Love","Robyn Hitchcock & The Egyptians","18","1991"
"My Love Life","Morrissey","17","1991"
"Get the Message","Electronic","16","1991"
"3 Strange Days","School Of Fish","15","1991"
"Groovy Train","The Farm","14","1991"
"Out In The Cold","Tom Petty and the Heartbreakers","13","1991"
"The Fly","U2","12","1991"
"Radio Song","R.E.M.","11","1991"
"In Bloom","Nirvana","10","1991"
"Rush - Single Version","Big Audio Dynamite","9","1991"
"Give It Away","Red Hot Chili Peppers","8","1991"
"Unbelievable","EMF","7","1991"
"Kiss Them For Me","Siouxsie and the Banshees","6","1991"
"Mysterious Ways","U2","5","1991"
"Right Here Right Now","Jesus Jones","4","1991"
"The Globe","Big Audio Dynamite","3","1991"
"Losing My Religion","R.E.M.","2","1991"
"Smells Like Teen Spirit","Nirvana","1","1991"
